treatment,well_nr,sample_nr,date,timepoint,description ,variable,value,std_dev
ABS1,ABS1-2,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-3,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-4,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-5,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-6,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-1,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-2,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-3,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-4,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-5,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
