treatment,well_nr,sample_nr,date,timepoint,description ,variable,value,std_dev
ASW,NA,SAM_366,2022-01-04,T5,ASW,sym_prot(cells/ug),3194.025618,NA
ASW,NA,SAM_367,2022-01-04,T5,ASW,sym_prot(cells/ug),1895.723752,NA
ABS1,1,SAM_398,2022-01-19,T7,ABS1-21d-15d-FASW,avg_protein(ug/ml),195.77,8.442139083
ABS1,2,SAM_399,2022-01-19,T7,ABS1-21d-15d-FASW,avg_protein(ug/ml),146.52,28.60603099
ABS1,3,SAM_400,2022-01-19,T7,ABS1-21d-15d-FASW,avg_protein(ug/ml),219.16,17.94647342
ABS1,5,SAM_401,2022-01-19,T7,ABS1-21d-15d-FASW,avg_protein(ug/ml),83.51,9.468307325
ABS1,6,SAM_402,2022-01-19,T7,ABS1-21d-15d-FASW,avg_protein(ug/ml),196.82,7.266071392
ABS2,1,SAM_403,2022-01-19,T7,ABS2-21d-15d-FASW,avg_protein(ug/ml),243.40,13.57605964
ABS2,2,SAM_404,2022-01-19,T7,ABS2-21d-15d-FASW,avg_protein(ug/ml),432.81,28.46012872
ABS2,3,SAM_405,2022-01-19,T7,ABS2-21d-15d-FASW,avg_protein(ug/ml),346.81,55.66790707
ABS2,5,SAM_406,2022-01-19,T7,ABS2-21d-15d-FASW,avg_protein(ug/ml),97.17,6.72069221
ABS2,6,SAM_407,2022-01-19,T7,ABS2-21d-15d-FASW,avg_protein(ug/ml),253.75,20.36761585
ASW,1,SAM_408,2022-01-19,T7,ASW,avg_protein(ug/ml),319.03,21.10655138
ASW,2,SAM_409,2022-01-19,T7,ASW,avg_protein(ug/ml),505.92,25.72011706
ASW,4,SAM_410,2022-01-19,T7,ASW,avg_protein(ug/ml),381.07,25.38306584
ASW,5,SAM_411,2022-01-19,T7,ASW,avg_protein(ug/ml),511.64,10.26672139
ASW,6,SAM_412,2022-01-19,T7,ASW,avg_protein(ug/ml),327.94,13.42820526
ABS1,1,SAM_398,2022-01-19,T7,ABS1-21d-15d-FASW,avg_sym(cells/ml),142733.3333,6328.770286
ABS1,2,SAM_399,2022-01-19,T7,ABS1-21d-15d-FASW,avg_sym(cells/ml),123666.6667,13051.1813
ABS1,3,SAM_400,2022-01-19,T7,ABS1-21d-15d-FASW,avg_sym(cells/ml),419800,59810.0326
ABS1,5,SAM_401,2022-01-19,T7,ABS1-21d-15d-FASW,avg_sym(cells/ml),154600,16531.18266
ABS1,6,SAM_402,2022-01-19,T7,ABS1-21d-15d-FASW,avg_sym(cells/ml),97533.33334,15912.67838
ABS2,1,SAM_403,2022-01-19,T7,ABS2-21d-15d-FASW,avg_sym(cells/ml),2605266.666,706211.0828
ABS2,2,SAM_404,2022-01-19,T7,ABS2-21d-15d-FASW,avg_sym(cells/ml),1747066.667,164244.9796
ABS2,3,SAM_405,2022-01-19,T7,ABS2-21d-15d-FASW,avg_sym(cells/ml),634600,53921.0534
ABS2,5,SAM_406,2022-01-19,T7,ABS2-21d-15d-FASW,avg_sym(cells/ml),105333.3333,13601.96064
ABS2,6,SAM_407,2022-01-19,T7,ABS2-21d-15d-FASW,avg_sym(cells/ml),250533.3334,14640.1275
ASW,1,SAM_408,2022-01-19,T7,ASW,avg_sym(cells/ml),649000,48943.64106
ASW,2,SAM_409,2022-01-19,T7,ASW,avg_sym(cells/ml),575333.3334,84127.12602
ASW,4,SAM_410,2022-01-19,T7,ASW,avg_sym(cells/ml),889866.6666,69004.73414
ASW,5,SAM_411,2022-01-19,T7,ASW,avg_sym(cells/ml),1448600,66548.92936
ASW,6,SAM_412,2022-01-19,T7,ASW,avg_sym(cells/ml),1941066.667,93285.0113
ABS1,1,SAM_398,2022-01-19,T7,ABS1-21d-15d-FASW,sym_prot(cells/ug),729.092664,NA
ABS1,2,SAM_399,2022-01-19,T7,ABS1-21d-15d-FASW,sym_prot(cells/ug),844.0005165,NA
ABS1,3,SAM_400,2022-01-19,T7,ABS1-21d-15d-FASW,sym_prot(cells/ug),1915.489416,NA
ABS1,5,SAM_401,2022-01-19,T7,ABS1-21d-15d-FASW,sym_prot(cells/ug),1851.290612,NA
ABS1,6,SAM_402,2022-01-19,T7,ABS1-21d-15d-FASW,sym_prot(cells/ug),495.5545269,NA
ABS2,1,SAM_403,2022-01-19,T7,ABS2-21d-15d-FASW,sym_prot(cells/ug),10703.56647,NA
ABS2,2,SAM_404,2022-01-19,T7,ABS2-21d-15d-FASW,sym_prot(cells/ug),4036.525917,NA
ABS2,3,SAM_405,2022-01-19,T7,ABS2-21d-15d-FASW,sym_prot(cells/ug),1829.821091,NA
